rno	uno	pno	rtitle	rcontent	rstar
1	1	115	라비킷_스타일킷 품질이 좋아서 만족했습니다	라비킷_스타일킷 제품을 직접 사용해보니 기대 이상으로 만족스러웠습니다. 배송도 빠르고 제품 상태도 깔끔해서 좋았습니다. 다음에도 재구매할 생각이 있습니다.	4.9
2	1	122	클로버무드등 품질이 좋아서 만족했습니다	클로버무드등 제품은 가격 대비 품질이 좋아서 만족했습니다. 사용하기 편리했고 마감도 괜찮아서 주변 사람들에게 추천하고 싶습니다.	4.3
3	1	128	횃불무드등 품질이 좋아서 만족했습니다	횃불무드등 제품은 가격 대비 품질이 좋아서 만족했습니다. 사용하기 편리했고 마감도 괜찮아서 주변 사람들에게 추천하고 싶습니다.	4.6
4	5	20	제티 정말 만족하면서 사용 중입니다	제티 제품이 생각보다 훨씬 괜찮았습니다. 배송 상태도 좋았고 전체적으로 만족도가 높은 제품이었습니다.	4.6
5	3	81	펄프_키친타올 정말 만족하면서 사용 중입니다	펄프_키친타올 제품은 가격 대비 품질이 좋아서 만족했습니다. 사용하기 편리했고 마감도 괜찮아서 주변 사람들에게 추천하고 싶습니다.	4.5
6	3	141	화분식물 배송도 빠르고 제품도 만족합니다	화분식물 제품이 생각보다 훨씬 괜찮았습니다. 배송 상태도 좋았고 전체적으로 만족도가 높은 제품이었습니다.	4.5
7	5	149	장미꽃 배송도 빠르고 제품도 만족합니다	장미꽃 제품은 실제로 받아보니 사진과 거의 동일했고 품질도 좋아서 만족했습니다. 가성비 좋은 제품으로 추천할 만합니다.	5
8	5	116	의류건조기 재구매 의사 있을 정도로 좋아요	의류건조기 제품을 사용하면서 불편한 점 없이 만족스럽게 사용했습니다. 디자인도 괜찮고 실용성도 좋아서 자주 사용할 것 같습니다.	4.6
9	1	5	센트룸_멀티구미 재구매 의사 있을 정도로 좋아요	센트룸_멀티구미 제품이 생각보다 훨씬 괜찮았습니다. 배송 상태도 좋았고 전체적으로 만족도가 높은 제품이었습니다.	4.8
10	2	28	차오코코넛밀크 정말 만족하면서 사용 중입니다	차오코코넛밀크 제품을 직접 사용해보니 기대 이상으로 만족스러웠습니다. 배송도 빠르고 제품 상태도 깔끔해서 좋았습니다. 다음에도 재구매할 생각이 있습니다.	4.9
