rvno	rno	rvtext	rvstar
1	51	화장실 청소 상태가 아쉬웠습니다	2
2	95	엘리베이터가 조금 불편했습니다	2
3	145	조금 시끄러웠습니다	2
4	177	뷰가 정말 좋았습니다	5
5	199	방이 조금 추웠습니다	2
6	200	욕실 청소가 부족했습니다	2
7	230	수건 상태가 아쉬웠습니다	2
8	233	직원 서비스가 만족스러웠습니다	5
9	245	조명이 어두웠습니다	2
10	278	시설 관리가 잘 되어있었습니다	5
11	289	체크인이 늦어졌습니다	2
12	301	침구류 상태가 좋았습니다	4
13	301	객실 상태가 깔끔했습니다	5
14	321	침대가 조금 딱딱했습니다	3
15	344	뷰가 아름다웠습니다	5
16	399	가족 여행으로 만족했습니다	5
17	411	시설이 고급스러웠습니다	5
18	451	객실 냄새가 조금 있었습니다	2
19	456	체크인 절차가 빨랐습니다	4
20	501	냉장고 소음이 있었습니다	2
21	512	무난하게 이용했습니다	3
22	531	가성비가 괜찮은 숙소였습니다	4
23	542	위생 상태가 좋았습니다	5
24	567	가격 대비 훌륭했습니다	4
25	600	시설 관리가 부족했습니다	2
26	612	객실 크기가 적당했습니다	4
27	654	냉난방 상태가 좋았습니다	4
28	654	침대 상태가 좋았습니다	5
29	765	편의점이 가까워 좋았습니다	4
30	777	가격이 조금 비쌌습니다	3
31	811	화장실이 넓어서 좋았습니다	4
32	882	생각보다 방이 좁았습니다	3
33	889	주변 관광지가 가까웠습니다	4
34	890	편하게 쉬다 갑니다	5
35	899	야경이 멋졌습니다	5
36	902	주차 공간이 부족했습니다	3
37	987	전체적으로 만족스러웠습니다	5
38	988	재방문 예정입니다	5
39	998	재방문 의사 있습니다	5
40	1002	방음이 아쉬웠습니다	2
41	1100	주변이 시끄러웠습니다	2
42	1200	방음이 잘 되었습니다	4
43	1201	위치가 좋아서 편하게 이용했습니다	4
44	1300	침대가 편안했습니다	5
45	1440	친절한 서비스 감사합니다	5
46	1444	객실 전망이 훌륭했습니다	5
47	1450	주차장이 협소했습니다	3
48	1450	매우 만족스러운 숙박이었습니다	5
49	1456	침구류가 포근했습니다	5
50	1459	에어컨 소음이 있었습니다	2
51	1544	주차가 편했습니다	4
52	1650	무난한 숙소였습니다	3
53	1654	조용하고 편안했습니다	5
54	1666	야경이 예뻤습니다	5
55	1670	직원들이 매우 친절했습니다	5
56	1677	가성비 좋습니다	5
57	1760	전체적으로 깔끔했습니다	5
58	1765	주차가 편리했습니다	4
59	1770	생각보다 좁았습니다	3
60	1771	가격 대비 괜찮았습니다	4
61	1777	재방문하고 싶습니다	5
62	1780	가성비가 뛰어났습니다	4
63	1781	생각보다 작았습니다	3
64	1788	체크인이 빨라서 좋았습니다	5
65	1877	조용해서 편히 쉬었습니다	5
66	1880	욕실 상태가 좋았습니다	4
67	1881	숙소 위치가 좋았습니다	4
68	1888	조용해서 좋았습니다	5
69	1889	가족끼리 만족했습니다	5
70	1900	샤워실이 작았습니다	3
71	1990	재방문 의사 있습니다	5
72	1991	조식이 만족스러웠습니다	4
73	1998	침구가 깨끗했습니다	5
74	1999	직원 응대가 친절했습니다	5
75	2001	객실 청결이 좋았습니다	5
76	2022	가격 대비 만족합니다	4
77	2100	생각보다 만족스러웠습니다	4
78	2102	바다 전망이 정말 좋았습니다	5
79	2110	시설이 낡았습니다	2
80	2111	조식이 맛있었습니다	5
81	2222	직원 응대가 빨랐습니다	4
82	2230	직원 응대 최고였습니다	5
83	2300	엘리베이터 대기가 길었습니다	3
84	2311	시설이 오래된 느낌입니다	2
85	2333	생각보다 오래된 느낌이었습니다	3
86	2400	전체적으로 좋았습니다	5
87	2444	침구가 깨끗했습니다	4
88	2459	객실이 깨끗하고 좋았습니다	5
89	2500	친절한 응대 감사합니다	5
90	2501	시설이 깨끗했습니다	5
91	2550	에어컨 냄새가 났습니다	2
92	2560	수압이 약했습니다	2
93	2766	위치가 매우 좋았습니다	5
94	2777	전체적으로 만족합니다	4
95	2780	아이들과 이용하기 좋았습니다	5
96	2789	푹 쉬다 갑니다	5
97	2890	주변 편의시설이 많았습니다	4
98	2901	체크아웃이 편했습니다	4
99	2999	객실이 넓었습니다	5
100	3000	조식 종류가 다양했습니다	5
