ppno	pno	pyeong	type	context	floor	price	price_month
1	1	24	1	"압구정역 도보 5분,대형마트·병원·학교 인접,남향 구조& 채광 우수,내부 리모델링 완료,보안 및 관리 우수,즉시 입주 가능"	09월 15일	1000000000	0
2	2	22	0	"채광 좋음, 층고 높아 개방감 좋음, 복층 구조 활용 가능, 교통 편리함, 역세권 위치 많음, 생활 인프라 우수, 보안시설 잘 갖춰짐, 관리비 포함 서비스 편리, 소형 가구에 적합, 관리 및 청소 용..."	02월 04일	800000	150000
3	3	24	0	"압구정역 도보 5분,대형마트·병원·학교 인접,남향 구조& 채광 우수,내부 리모델링 완료,보안 및 관리 우수,즉시 입주 가능"""	10월 15일	2400000	420000
4	4	20	1	"압구정역 도보 5분,대형마트·병원·학교 인접,내부 리모델링 완료,보안 및 관리 우수,즉시 입주 가능"""	03월 15일	900000000	0
5	5	34	1	"압구정역 도보 5분,대형마트·병원·학교 인접,내부 리모델링 완료,보안 및 관리 우수,즉시 입주 가능"""	04월 15일	900000000	0
6	6	40	0	"유동인구가 많은 지역에 위치하여 상업 활동에 유리합니다, 주변 상권이 활성화되어 있어 안정적인 매출이 기대됩니다, 접근성이 좋아 고객 유입이 용이합니다"""	01월 03일	7670000	380000
7	7	50	0	"넓은 공간으로 물류 보관 및 재고 관리에 적합합니다, 24시간 출입이 가능하여 운영이 편리합니다, 보안 시스템이 잘 갖춰져 있어 안전합니다, 차량 접근이 용이하여 물류 이동이 편리합니다, ..."	01월 01일	5500000	720000
8	8	40	0	"소형 창고로 개인 짐 보관에 적합합니다, 접근성이 좋아 이용이 편리합니다, 합정역 인근으로 이동이 용이합니다, 보안 시설이 잘 갖춰져 있습니다, 깔끔하게 관리된 공간입니다, 다양한 물품 ..."	01월 01일	4250000	750000
9	9	20	1	"여의도 인근으로 직장인 거주에 적합합니다, 교통이 편리하여 출퇴근이 용이합니다, 주변 편의시설이 다양하게 위치해 있습니다, 깔끔한 내부 상태로 바로 입주 가능합니다, 보안이 잘 갖춰져..."	05월 06일	300000000	0
10	10	60	1	"대형 물류 보관이 가능한 넓은 공간으로 사업용 창고로 적합합니다, 대량의 재고 및 물품 적재가 가능하여 효율적인 물류 운영이 가능합니다, 차량 진입이 용이하여 상하차 작업이 편리합니..."	01월 01일	250000000	0
							
